worm names,velc10,velc50,velc90,vel10,vel50,vel90,ampt10,ampt50,ampt90,waveL10,waveL50,waveL90,thicknessOne10,thicknessOne50,thicknessOne90,thicknessTwo10,thicknessTwo50,thicknessTwo90,thicknessMid10,thicknessMid50,thicknessMid90,ecc10,ecc50,ecc90,minRecRatio10,minRecRatio50,minRecRatio90,baekAmp10,baekAmp50,baekAmp90,baekAmpRatio10,baekAmpRatio50,baekAmpRatio90,angChRate10,angChRate50,angChRate90,area10,area50,area90,length10,length50,length90,width10,width50,width90,fatness10,fatness50,fatness90,bodyTrans10,bodyTrans50,bodyTrans90,HTBright10,HTBright50,HTBright90,pathMo2nd
N2_on_food,0.033036,0.09791,-0.023483,0.040427,0.18884,-0.023907,0.90998,1.085,0.90503,0.72285,0.97046,1.358,0.096597,0.75764,-0.087621,0.86792,0.67168,0.18485,0.27493,0.033794,0.1812,-0.082643,0.2848,0.26998,-0.63681,-0.039125,0.18159,0.90431,1.4505,1.968,-0.77191,0.58214,0.42242,-0.72388,-0.612,-0.2085,0.9296,0.72299,1.2889,1.2732,1.5387,1.7204,0.17271,-0.021803,0.15863,0.39114,0.060741,0.16259,-0.60414,-0.99566,-1.0346,-0.60214,-0.46633,-0.13099,0.023782
N2_on_food,0.056059,1.4822,0.15113,0.060667,1.4703,0.16297,0.10518,-0.29588,-0.32913,0.21969,-0.17055,0.48926,-0.067626,0.19481,-0.022795,0.66336,0.5072,0.13456,-0.059541,-0.17736,0.24214,0.26631,0.33672,0.16903,-0.16862,0.22849,-0.042495,0.39646,0.22301,0.50748,-0.08422,0.21201,0.1736,0.32752,0.15221,-0.083105,0.14557,0.2539,0.68495,0.48946,0.49127,0.48069,-0.29229,-0.16197,0.17825,-0.061818,0.008908,0.13249,-0.11249,-0.38328,-0.55803,0.20696,0.048944,-0.24545,0.72051
N2_on_food,0.038374,0.7493,0.069174,0.047622,0.88463,0.064963,0.71425,0.39497,0.1334,0.59814,0.063855,0.75182,-0.70134,-0.96233,-0.071144,1.4492,0.44381,-0.027877,0.10083,-0.11264,-0.060461,0.40184,0.32998,0.20134,0.060471,0.2027,-0.024873,0.79029,0.61748,0.76249,-0.18644,0.028454,0.065212,0,0,0,0.49166,0.37456,0.70664,0.77608,0.89348,0.95077,-0.080827,-0.15712,-0.095101,0.10058,-0.024364,0.0022661,-0.40748,-0.72349,-0.95518,-1.2038,-0.83946,-0.44577,0.32239
N2_on_food,-0.080938,-0.26856,0.04903,-0.10222,-0.22992,0.051579,0.386,0.51032,0.86507,0.64583,1.2916,1.2801,-1.7782,0.2931,0.011217,-2.023,-0.45666,0.22232,-0.055348,0.031627,0.3958,0.60543,0.47628,0.3838,0.75536,0.8178,0.64925,0.2808,0.44466,0.84151,1.5133,0.91223,0.58078,-0.62699,-0.35028,-0.16688,0.49121,0.90259,1.6676,0.94476,1.1695,2.3302,-0.24443,0.012876,0.3287,-0.057306,0.14026,0.18782,-0.45665,-0.65545,-0.2403,-2.5391,-1.026,1.0283,0.724
N2_on_food,0.057233,-0.34772,-0.099634,0.065302,-0.27797,-0.10378,-0.14264,1.0554,1.5713,0.33816,1.0576,0.83259,1.9099,1.4904,0.02336,0.86792,0.83138,0.18485,0.16524,-0.023957,-0.11131,0.53489,0.47531,0.468,0.36242,0.73829,1.4346,-0.29637,0.41476,1.2423,-0.77191,1.3076,0.57181,1.3783,0.99404,0.064318,0.3013,0.13457,0.29727,0.70445,0.76542,0.80949,-0.012872,-0.10387,-0.18331,0.24429,-0.035765,-0.076881,-0.35832,-0.65545,-0.87575,0.32346,0.36976,0.28337,-0.79652
N2_on_food,0.040664,-0.095329,-0.049401,0.056266,-0.0062926,-0.050311,-1.042,-0.29708,0.46626,0.044256,0.49759,0.47583,0.39266,0.55219,0.21289,-0.0075264,0.44381,0.22733,-0.13667,-0.187,0.12544,0.49127,0.47497,0.3315,0.38574,0.90566,0.86012,-1.0147,-0.58893,-0.32633,0.11213,1.0601,0.69966,-0.67202,-0.57351,-0.21363,-0.15447,-0.05962,0.32071,0.29645,0.24217,0.18602,-0.36392,-0.25036,0.055897,-0.20508,-0.046859,0.056922,-0.11249,-0.38328,-0.63746,0.3642,0.44719,0.17582,0.039686
N2_on_food,0.058343,0.2554,-0.014949,0.066649,0.28228,-0.031328,0.4101,0.71363,0.42579,0.5942,0.96352,1.2013,1.2458,0.61146,-0.17645,0.12594,0.1899,-0.1521,0.023174,-0.3447,-0.4861,0.36193,0.40167,0.41063,-0.010938,0.41723,0.70044,0.4565,0.94911,1.2525,-0.037703,0.45284,0.37917,-0.03127,-0.089356,-0.12664,0.73622,0.49303,0.50213,1.0047,1.1588,1.2735,-0.24391,-0.39637,-0.49732,0.00055094,-0.28802,-0.29994,-0.50581,-0.85957,-1.1935,-0.085955,0.78284,1.1838,-0.091238
N2_on_food,0.016275,-0.097874,-0.056111,0.025404,0.018776,-0.069748,0.21122,0.35563,0.14376,0.21374,0.36925,0.44544,0.39266,0.47055,-0.071144,0.064598,-0.21312,-0.28644,-0.13667,-0.49658,-0.52235,0.3733,0.3358,0.31867,0.053619,0.12825,0.29037,0.34232,0.20263,0.26686,-0.77191,-0.2745,-0.055593,-0.52298,-0.47372,-0.17755,-0.060129,-0.31423,-0.40355,0.4861,0.48225,0.45734,-0.37212,-0.51514,-0.57607,-0.28591,-0.46718,-0.42126,-0.063325,-0.31524,-0.63746,1.1223,0.8263,0.4686,0.298
N2_on_food,0.038124,-0.59033,-0.11543,0.039811,-0.64185,-0.12739,0.20766,0.52089,0.83515,0.47373,0.86633,0.76467,-0.2062,0.2931,-0.2006,0.95078,0.43429,-0.21979,0.0021743,-0.36519,-0.52668,0.53636,0.44789,0.3489,0.58475,0.6995,0.473,0.31885,-0.052666,0.081356,0.43302,0.57317,0.2689,-0.89104,-0.73739,-0.24002,0.27102,0.047224,-0.17708,0.70252,0.78242,0.82299,-0.11728,-0.38168,-0.55722,-0.067689,-0.30618,-0.40256,-0.50581,-0.92762,-1.3523,-1.4622,-1.254,-0.30506,-0.40354
N2_on_food,0.013762,0.10694,-0.054142,0.030192,0.19974,-0.070613,0.89377,1.4573,0.82714,0.98427,0.87078,1.2001,1.5988,0.84203,-0.087621,0.40501,0.28405,-0.11022,0.25319,0.0017918,-0.11131,0.24898,0.31493,0.26729,-0.22419,0.13902,0.17507,0.85152,1.1475,1.2342,-0.77191,-0.093727,0.12577,-0.13027,-0.16529,-0.13929,0.6756,0.54015,0.69806,1.1256,1.3654,1.5078,0.082202,-0.080397,-0.15738,0.2449,-0.0097018,-0.0803,-0.45665,-0.85957,-1.1935,-0.060607,-0.18485,-0.15475,-0.37667
N2_on_food,0.0065319,0.35608,0.072591,0.017254,0.52914,0.055567,-0.78425,-0.68658,0.2914,0.17236,0.7321,0.52431,-1.2074,-1.7736,-0.022795,-1.493,-0.46683,0.38683,1.0507,0.87394,0.8359,0.60007,0.38744,0.217,0.82416,0.62922,0.37945,-0.5473,-0.82536,-0.76604,0.32226,0.57116,0.31497,-0.49363,-0.44728,-0.17186,0.74206,0.63476,1.1191,0.16617,0.18349,0.29256,1.1065,0.76107,0.79918,1.0459,0.68272,0.51531,0.13334,0.2291,0.71287,-0.65456,-0.83946,-0.65265,0.80301
N2_on_food,0.075039,0.57706,0.017246,0.088279,0.69759,0.0011829,-0.35358,-0.33396,0.0041156,0.078196,0.75929,0.68536,-0.43316,-0.22885,-0.090823,0.54185,0.14585,-0.071461,-0.19595,-0.4201,-0.20418,0.52182,0.44275,0.35796,0.33977,0.6484,0.52199,-0.1072,-0.20135,0.3137,-0.2281,0.60703,0.4216,1.2471,0.87709,0.044588,0.030817,-0.090994,0.25076,0.51155,0.52674,0.52254,-0.46101,-0.45994,-0.26338,-0.26621,-0.30979,-0.14076,-0.16166,-0.38328,-0.63746,0.61536,0.56858,0.19266,0.56498
N2_on_food,0.069896,-0.28126,-0.11053,0.080701,-0.24618,-0.11901,0.40836,0.52117,0.14101,0.065283,0.0095069,-0.033808,1.1772,0.22079,-0.34809,-0.39201,0.44381,-0.061174,-0.31759,-0.73637,-0.73773,-0.065577,0.24798,0.13745,-0.63747,-0.15103,-0.22168,0.4809,0.40108,0.68175,-0.77191,-0.16022,0.17632,-0.32665,-0.23386,-0.15145,-0.33986,-0.60101,-0.78627,0.27764,0.18006,0.10589,-0.61189,-0.72246,-0.74362,-0.39398,-0.58206,-0.54093,-0.35832,-0.72349,-1.1935,0.26081,0.25798,0.18075,-0.34105
N2_on_food,0.043016,0.12114,-0.054623,0.060444,0.1728,-0.073293,0.15266,0.16199,0.41182,0.15703,0.85883,0.65579,-0.12096,0.06765,-0.11314,1.0688,0.55415,0.0010234,-0.12704,-0.49044,0.066152,0.62488,0.40503,0.31139,0.92868,0.4258,0.46049,0.20054,0.078367,-0.031962,0.6811,0.69775,0.3926,-0.97782,-0.76425,-0.24478,-0.03237,-0.21776,0.40356,0.60285,0.63763,0.6604,-0.37031,-0.45372,0.014175,-0.17544,-0.36225,0.042055,-0.30915,-0.65545,-0.63746,0.34634,0.23688,0.0029353,0.1625
